ARH	PCATASTRAL1	PCATASTRAL2	SUBPARCELA	VALOR	TIPO	AATIPO	IPP	SUPERFICIE	NINTERNO	NINTERNO_SUBPARCELA	CIRCULARIDAD	CONVEXIDAD	ELONGACION	PLUVIOMETRIA	TIPO_VERANO	ETP	TM	TMIN	CLASIF	INV	TUSEC	TUREG	REGIHU	REGITE	PLU	PSECO	PFRIO	PCAL	ALTURA_MEDIA	PENDIENTE_MEDIA	ORIENTACION_MEDIA	LAT	LON
1611	46001A0	1600786	0	16100	FCR	FR	3	178.500595	1989	13	920	214757473	173525970	0.574	1	0.481	750	5	30	14	65	7	3	10	35	4	13	350	5	7	2	5.33084	39.49124
1605	46250A0	3000176	0	18600	FCR	FR	1	205.54614	1989	8	5728	217857217	175612804	0.771	0.992	0.136	850	4	30	16	62	6	3	20	50	4	6	500	4	5	1	5.32333	39.4913
1605	46250A0	3700119	0	18600	FCR	FR	3	183.909704	1989	12	2318	217843387	175613071	0.459	0.99	0.423	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32316	39.49132
1604	46258A0	3100773	a	24800	FCR	FR	1	270.455447	1989	1	531	218146897	175842991	0.834	0.997	0.126	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.32978	39.49133
1604	46258A0	2400052	a	24800	FCR	FR	2	227.182575	1989	5	3731	218158150	175843077	0.753	0.999	0.145	850	4	30	16	62	6	3	20	50	4	6	500	5	4	2	5.33419	39.49141
1604	46258A0	100870	c	24800	FCR	FR	3	205.54614	1989	8	2569	218160273	175843561	0.296	0.899	0.589	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.32846	39.49144
1604	46258A0	100567	0	24800	FCR	FR	3	205.54614	1989	8	2048	218161405	175843829	0.743	1	0.182	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.2942	39.49144
1604	46258A0	2600631	b	24800	FCR	FR	2	227.182575	1989	5	2888	218150603	175844678	0.424	0.908	0.506	850	4	30	16	62	6	3	20	50	4	6	500	5	4	2	5.32318	39.4915
1604	46258A0	3001202	0	24800	FCR	FR	3	205.54614	1989	8	1258	218143815	175845208	0.822	1	0.263	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.3407	39.49152
1605	46250A0	3200318	0	18600	FCR	FR	2	194.727922	1989	10	3899	217847347	175612540	0.643	1	0.32	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32777	39.49155
1605	46250A0	3200319	0	18600	FCR	FR	2	194.727922	1989	10	1743	217847348	175612541	0.778	1	0.081	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32392	39.49155
1605	46250A0	3800645	0	18600	FCR	FR	2	194.727922	1989	10	7795	217842839	175613085	0.594	0.985	0.394	850	4	30	16	62	6	3	20	50	4	6	500	4	5	1	5.34005	39.49155
1605	46250A0	3800646	0	18600	FCR	FR	2	194.727922	1989	10	7749	217842840	175613086	0.748	1	0.161	850	4	30	16	62	6	3	20	50	4	6	500	4	5	1	5.29399	39.49157
1604	46258A0	400097	0	24800	FCR	FR	3	205.54614	1989	8	1407	218160969	175843349	0.335	1	0.8	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.34208	39.49158
1604	46258A0	100902	0	24800	FCR	FR	1	270.455447	1989	1	854	218160511	175843604	0.452	1	0.574	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.33175	39.4916
1604	46258A0	100460	a	24800	FCR	FR	3	205.54614	1989	8	1510	218160691	175843852	0.315	1	0.754	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.33066	39.49167
1604	46258A0	200301	0	24800	FCR	FR	3	205.54614	1989	8	500	218159164	175843858	0.62	1	0.36	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.31948	39.49168
1604	46258A0	2200287	a	24800	FCR	FR	1	270.455447	1989	1	7505	218158124	175843482	0.751	0.972	0.031	850	4	30	16	62	6	3	20	50	4	6	500	4	4	2	5.31879	39.4917
1604	46258A0	2700603	0	24800	FCR	FR	1	270.455447	1989	1	6715	218146675	175844354	0.539	0.916	0.237	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.32913	39.49171
1605	46250A0	2400454	0	18600	FCR	FR	2	194.727922	1989	10	1611	217848939	175618365	0.663	1	0.544	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32451	39.49173
1605	46250A0	2400465	0	18600	FCR	FR	3	183.909704	1989	12	429	217848948	175618376	0.73	1	0.197	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.34095	39.49173
1605	46250A0	2500184	0	18600	FCR	FR	2	194.727922	1989	10	601	217848028	175618378	0.617	1	0.348	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31876	39.49176
1605	46250A0	2500188	0	18600	FCR	FR	2	194.727922	1989	10	772	217848032	175618382	0.807	1	0.033	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33808	39.49178
1605	46250A0	2300044	0	18600	FCR	FR	2	194.727922	1989	10	11388	217847925	175618272	0.705	1	0.196	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32458	39.49178
1604	46258A0	2901219	0	24800	FCR	FR	2	227.182575	1989	5	626	218157426	175846102	0.663	1	0.258	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.32966	39.49185
1605	46250A0	2500534	0	18600	FCR	FR	2	194.727922	1989	10	352	217847062	175618402	0.196	1	0.858	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31773	39.49187
1605	46250A0	2500538	0	18600	FCR	FR	2	194.727922	1989	10	508	217848034	175618406	0.344	1	0.853	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.34148	39.49193
1605	46250A0	2500539	0	18600	FCR	FR	2	194.727922	1989	10	1574	217848035	175618407	0.495	1	0.58	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.30306	39.49193
1605	46250A0	2500542	0	18600	FCR	FR	2	194.727922	1989	10	1702	217848038	175618410	0.756	1	0.173	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32941	39.49195
1604	46258A0	400096	a	24800	FCR	FR	3	205.54614	1989	8	1248	218160968	175843020	0.664	1	0.307	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.32381	39.49196
1604	46258A0	3100658	0	24800	FCR	FR	3	205.54614	1989	8	351	218158511	175843026	0.773	1	0.047	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.33232	39.49199
1604	46258A0	2200041	a	24800	FCR	FR	1	270.455447	1989	1	5379	218146508	175843769	0.557	0.93	0.521	850	4	30	16	62	6	3	20	50	4	6	500	4	4	2	5.33509	39.49199
1604	46258A0	2901162	c	24800	FCR	FR	1	270.455447	1989	1	761	264374577	175844428	0.712	0.966	0.016	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.30808	39.49204
